"Date","Time","SP Coccion Z1","Temp Coccion Z1","Temp Combustion Z1","SP Coccion Z2","Temp Coccion Z2","Temp Combustion Z2","Tiempo Coccion [centesimas de seg]","Quemador 1","Quemador 2","Quemador 3"
"2024/10/16","00:00:25","260","260","387","265","255","406","2230","0","1","1"
"2024/10/16","00:00:55","260","260","385","265","255","406","2230","0","1","1"
"2024/10/16","00:01:25","260","260","382","265","255","407","2230","0","1","1"
"2024/10/16","00:01:55","260","260","379","265","255","408","2230","0","1","1"
"2024/10/16","00:02:25","260","260","376","265","255","408","2230","0","1","1"
"2024/10/16","00:02:55","260","261","376","265","255","408","2230","0","1","1"
"2024/10/16","00:03:25","260","261","374","265","255","409","2230","0","1","1"
"2024/10/16","00:03:55","260","261","372","265","255","409","2230","1","1","1"
"2024/10/16","00:04:25","260","261","370","265","255","410","2230","1","1","1"
"2024/10/16","00:04:55","260","261","370","265","255","410","2230","1","1","1"
"2024/10/16","00:05:25","260","260","370","265","254","410","2230","1","1","1"
"2024/10/16","00:05:55","260","260","371","265","254","410","2230","1","1","1"
"2024/10/16","00:06:25","260","260","372","265","254","410","2230","1","1","1"
"2024/10/16","00:06:55","260","260","373","265","254","410","2230","1","1","1"
"2024/10/16","00:07:25","260","260","374","265","254","410","2230","1","1","1"
"2024/10/16","00:07:55","260","260","375","265","254","410","2230","1","1","1"
"2024/10/16","00:08:25","260","260","376","265","254","410","2230","1","1","1"
"2024/10/16","00:08:55","260","260","378","265","254","410","2230","1","1","1"
"2024/10/16","00:09:25","260","260","380","265","254","410","2230","1","1","1"
"2024/10/16","00:09:55","260","260","381","265","254","410","2230","1","1","1"
"2024/10/16","00:10:25","260","260","382","265","254","411","2230","1","1","1"
"2024/10/16","00:10:55","260","260","383","265","254","411","2230","1","1","1"
"2024/10/16","00:11:25","260","260","385","265","254","411","2230","1","1","1"
"2024/10/16","00:11:55","260","260","386","265","254","412","2230","1","1","1"
"2024/10/16","00:12:25","260","260","387","265","254","412","2230","1","1","1"
"2024/10/16","00:12:55","260","260","388","265","254","413","2230","1","1","1"
"2024/10/16","00:13:25","260","260","388","265","254","413","2230","1","1","1"
"2024/10/16","00:13:55","260","260","388","265","254","413","2230","1","1","1"
"2024/10/16","00:14:25","260","260","388","265","254","413","2230","1","1","1"
"2024/10/16","00:14:55","260","260","387","265","254","413","2230","1","1","1"
"2024/10/16","00:15:25","260","260","386","265","254","414","2159","1","1","1"
"2024/10/16","00:15:55","260","260","385","265","254","414","2200","1","1","1"
"2024/10/16","00:16:25","260","260","384","265","254","415","2200","1","1","1"
"2024/10/16","00:16:55","260","260","383","265","254","415","2200","1","1","1"
"2024/10/16","00:17:25","260","260","381","265","254","416","2145","1","1","1"
"2024/10/16","00:17:55","260","260","380","265","254","416","2145","1","1","1"
"2024/10/16","00:18:25","260","260","378","265","254","417","2145","1","1","1"
"2024/10/16","00:18:55","260","260","376","265","254","417","2145","1","1","1"
"2024/10/16","00:19:25","260","260","375","265","254","418","2145","1","1","1"
"2024/10/16","00:19:55","260","260","374","265","254","418","2145","1","1","1"
"2024/10/16","00:20:25","260","260","374","265","254","418","2145","1","1","1"
"2024/10/16","00:20:55","260","261","372","265","254","418","2145","1","1","1"
"2024/10/16","00:21:25","260","261","369","265","254","418","2145","1","1","1"
"2024/10/16","00:21:55","260","261","367","265","254","418","2145","1","1","1"
"2024/10/16","00:22:25","260","260","366","265","254","419","2145","1","1","1"
"2024/10/16","00:22:55","260","261","367","265","254","418","2145","1","1","1"
"2024/10/16","00:23:25","260","260","367","265","254","418","2145","1","1","1"
"2024/10/16","00:23:55","260","260","368","265","254","418","2145","1","1","1"
"2024/10/16","00:24:25","260","260","369","265","254","418","2145","1","1","1"
"2024/10/16","00:24:55","260","260","370","265","254","418","2145","1","1","1"
"2024/10/16","00:25:25","260","260","371","265","254","418","2145","1","1","1"
"2024/10/16","00:25:55","260","260","373","265","254","418","2145","0","1","1"
"2024/10/16","00:26:25","260","260","373","265","254","419","2145","0","1","1"
"2024/10/16","00:26:55","260","260","375","265","254","419","2145","0","1","1"
"2024/10/16","00:27:25","260","260","376","258","254","419","2160","0","1","1"
"2024/10/16","00:27:55","260","260","377","258","254","419","2160","0","1","1"
"2024/10/16","00:28:25","260","260","378","258","254","419","2160","0","1","1"
"2024/10/16","00:28:55","260","260","380","258","254","416","2160","0","1","1"
"2024/10/16","00:29:25","260","260","380","258","254","411","2160","0","1","1"
"2024/10/16","00:29:55","260","260","380","258","254","406","2160","0","1","1"
"2024/10/16","00:30:25","260","260","378","258","254","402","2160","0","1","1"
"2024/10/16","00:30:55","260","260","379","258","254","399","2160","0","1","1"
"2024/10/16","00:31:25","260","260","379","258","254","396","2160","0","1","1"
"2024/10/16","00:31:55","260","260","377","258","254","394","2160","0","1","1"
"2024/10/16","00:32:25","260","260","376","258","254","392","2160","0","1","1"
"2024/10/16","00:32:55","260","260","377","258","254","389","2160","0","1","1"
"2024/10/16","00:33:25","260","260","376","258","254","387","2160","0","1","1"
"2024/10/16","00:33:55","260","260","375","258","254","386","2160","0","1","1"
"2024/10/16","00:34:25","260","260","374","258","254","388","2160","0","1","1"
"2024/10/16","00:34:55","260","260","374","262","254","391","2160","0","1","1"
"2024/10/16","00:35:25","260","260","374","262","254","394","2160","0","1","1"
"2024/10/16","00:35:55","260","260","373","262","254","396","2160","0","1","1"
"2024/10/16","00:36:25","260","260","372","262","254","399","2160","0","1","1"
"2024/10/16","00:36:55","260","260","372","262","254","400","2160","0","1","1"
"2024/10/16","00:37:25","260","260","371","262","254","402","2160","0","1","1"
"2024/10/16","00:37:55","260","260","371","262","254","403","2160","0","1","1"
"2024/10/16","00:38:25","260","260","372","262","254","404","2160","0","1","1"
"2024/10/16","00:38:55","260","260","373","262","254","405","2160","0","1","1"
"2024/10/16","00:39:25","260","260","374","262","254","406","2160","0","1","1"
"2024/10/16","00:39:55","260","260","375","262","254","406","2160","0","1","1"
"2024/10/16","00:40:25","260","260","376","262","254","407","2160","0","1","1"
"2024/10/16","00:40:55","260","260","377","262","254","408","2160","0","1","1"
"2024/10/16","00:41:25","260","260","379","262","254","408","2160","0","1","1"
"2024/10/16","00:41:55","260","260","380","262","253","409","2160","0","1","1"
"2024/10/16","00:42:25","260","260","381","262","253","410","2160","0","1","1"
"2024/10/16","00:42:55","260","260","382","262","254","410","2160","0","1","1"
"2024/10/16","00:43:25","260","260","383","262","253","411","2160","0","1","1"
"2024/10/16","00:43:55","260","260","384","262","253","411","2160","0","1","1"
"2024/10/16","00:44:25","260","260","385","262","253","412","2160","0","1","1"
"2024/10/16","00:44:55","260","260","386","262","253","412","2160","0","1","1"
"2024/10/16","00:45:25","260","260","387","262","253","413","2160","0","1","1"
"2024/10/16","00:45:55","260","260","388","262","254","414","2200","0","1","1"
"2024/10/16","00:46:25","260","260","387","262","253","414","2200","0","1","1"
"2024/10/16","00:46:55","260","260","388","262","253","414","2200","0","1","1"
"2024/10/16","00:47:25","260","260","388","262","253","414","2200","0","1","1"
"2024/10/16","00:47:55","260","260","387","262","253","415","2200","0","1","1"
"2024/10/16","00:48:25","260","260","386","262","253","416","2200","0","1","1"
"2024/10/16","00:48:55","260","260","386","262","254","416","2200","0","1","1"
"2024/10/16","00:49:25","260","260","385","262","253","416","2200","0","1","1"
"2024/10/16","00:49:55","260","260","384","262","253","417","2200","0","1","1"
"2024/10/16","00:50:25","260","260","382","262","253","417","2200","0","1","1"
"2024/10/16","00:50:55","260","260","382","262","254","418","2200","0","1","1"
"2024/10/16","00:51:25","260","260","380","262","254","418","2200","0","1","1"
"2024/10/16","00:51:55","260","260","380","262","254","419","2200","0","1","1"
"2024/10/16","00:52:25","260","260","381","262","254","419","2200","0","1","1"
"2024/10/16","00:52:55","260","260","381","262","253","419","2200","0","1","1"
"2024/10/16","00:53:25","260","260","381","262","254","420","2200","0","1","1"
"2024/10/16","00:53:55","260","260","379","262","254","421","2212","0","1","1"
"2024/10/16","00:54:25","260","260","378","262","254","421","2215","0","1","1"
"2024/10/16","00:54:55","260","260","378","262","254","422","2215","0","1","1"
"2024/10/16","00:55:25","260","260","378","262","254","422","2215","0","1","1"
"2024/10/16","00:55:55","260","260","379","262","254","422","2215","0","1","1"
"2024/10/16","00:56:25","260","260","379","262","254","422","2215","0","1","1"
"2024/10/16","00:56:55","260","260","379","262","254","422","2215","0","1","1"
"2024/10/16","00:57:25","260","260","378","262","254","422","2215","0","1","1"
"2024/10/16","00:57:55","260","260","378","262","254","422","2215","0","1","1"
"2024/10/16","00:58:25","260","260","380","262","254","422","2215","0","1","1"
"2024/10/16","00:58:55","260","260","379","262","254","423","2215","0","1","1"
"2024/10/16","00:59:25","260","260","379","262","254","422","2215","0","1","1"
"2024/10/16","00:59:55","260","260","380","262","254","422","2215","0","1","1"
"2024/10/16","01:00:25","260","260","381","262","254","423","2215","0","1","1"
"2024/10/16","01:00:55","260","260","382","262","254","423","2215","0","1","1"
"2024/10/16","01:01:25","260","260","383","262","254","424","2215","0","1","1"
"2024/10/16","01:01:55","260","260","383","262","254","423","2215","0","1","1"
"2024/10/16","01:02:25","260","260","382","262","254","424","2215","0","1","1"
"2024/10/16","01:02:55","260","260","381","262","254","424","2215","0","1","1"
"2024/10/16","01:03:25","260","260","381","262","254","424","2215","0","1","1"
"2024/10/16","01:03:55","260","260","380","262","254","424","2215","0","1","1"
"2024/10/16","01:04:25","260","260","380","262","254","423","2215","0","1","1"
"2024/10/16","01:04:55","260","260","380","262","254","423","2215","0","1","1"
